user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
near_lem_2018_bin.22	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	81.45	11	0.6618675792730955	N/A
near_lem_2018_bin.23	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__UBA2463;s__	N/A	N/A	N/A	N/A	N/A	GCA_002342295.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__UBA2463;s__UBA2463 sp002342295	77.16	0.23	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	32.38	11	0.8716014220697939	N/A
near_lem_2018_bin.24	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Rhodovulum;s__Rhodovulum bhavnagarense	GCF_004343505.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Rhodovulum;s__Rhodovulum bhavnagarense	98.92	0.93	GCF_004343505.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Rhodovulum;s__Rhodovulum bhavnagarense	98.92	0.93	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Rhodovulum;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_004345735.1, s__Rhodovulum adriaticum, 95.0, 84.6, 0.72; GCF_004343075.1, s__Rhodovulum marinum, 95.0, 82.28, 0.67; GCF_004342445.1, s__Rhodovulum euryhalinum, 95.0, 81.4, 0.65; GCF_004339675.1, s__Rhodovulum steppense, 95.0, 81.27, 0.64; GCF_900142935.1, s__Rhodovulum sp900142935, 95.0, 80.81, 0.59; GCF_003944755.1, s__Rhodovulum robiginosum, 95.0, 80.64, 0.6; GCF_003053725.1, s__Rhodovulum kholense, 95.0, 80.53, 0.58; GCF_002079305.1, s__Rhodovulum sp002079305, 95.0, 80.52, 0.56; GCF_004365965.1, s__Rhodovulum visakhapatnamense, 95.0, 80.46, 0.59; GCF_001633165.1, s__Rhodovulum sulfidophilum, 95.0, 80.38, 0.56; GCF_002073975.1, s__Rhodovulum sp002073975, 95.0, 80.05, 0.56; GCF_003046545.1, s__Rhodovulum imhoffii, 95.0, 78.77, 0.34	49.44	11	N/A	N/A
near_lem_2018_bin.25	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_002421845.1	95.0	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__UBA6211;s__UBA6211 sp002421845	77.17	0.09	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	49.29	11	0.8302145460846666	Genome has more than 16.7% of markers with multiple hits
near_lem_2018_bin.26	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Cyanobium_A;s__	N/A	N/A	N/A	N/A	N/A	GCA_007135755.1	95.0	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Cyanobium_A;s__Cyanobium_A sp007135755	83.7	0.69	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Cyanobium_A;s__	taxonomic classification defined by topology and ANI	N/A	GCF_001039265.1, s__Cyanobium_A sp001039265, 95.0, 82.93, 0.6; GCF_002252665.1, s__Cyanobium_A sp002252665, 95.0, 82.67, 0.7; GCF_900088535.1, s__Cyanobium_A sp900088535, 95.0, 82.64, 0.62; GCF_000155635.1, s__Cyanobium_A sp000155635, 95.0, 82.64, 0.62; GCF_003011885.1, s__Cyanobium_A usitatum, 95.0, 80.68, 0.59; GCA_002396505.1, s__Cyanobium_A sp002396505, 95.0, 79.63, 0.45	93.04	11	0.9134102922929199	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
near_lem_2018_bin.27	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Nanopelagicales;f__Nanopelagicaceae;g__MAG-120802;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Nanopelagicales;f__Nanopelagicaceae;g__MAG-120802;s__	taxonomic classification defined by topology and ANI	N/A	GCA_003569145.1, s__MAG-120802 sp003569145, 95.0, 90.33, 0.87; GCA_005777515.1, s__MAG-120802 sp005777515, 95.0, 88.36, 0.62; GCA_002347935.1, s__MAG-120802 sp002347935, 95.0, 87.74, 0.76; GCA_005787575.1, s__MAG-120802 sp005787575, 95.0, 76.28, 0.08	60.48	11	0.9933489419825003	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
near_lem_2018_bin.28	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Rhodovulum;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Rhodovulum;s__	taxonomic classification defined by topology and ANI	N/A	GCF_004343075.1, s__Rhodovulum marinum, 95.0, 82.67, 0.78; GCF_004345735.1, s__Rhodovulum adriaticum, 95.0, 82.37, 0.71; GCF_004342445.1, s__Rhodovulum euryhalinum, 95.0, 81.88, 0.75; GCF_004339675.1, s__Rhodovulum steppense, 95.0, 81.73, 0.74; GCF_003944755.1, s__Rhodovulum robiginosum, 95.0, 81.34, 0.76; GCF_004343505.1, s__Rhodovulum bhavnagarense, 95.0, 81.26, 0.67; GCF_004365965.1, s__Rhodovulum visakhapatnamense, 95.0, 81.03, 0.72; GCF_900142935.1, s__Rhodovulum sp900142935, 95.0, 80.99, 0.73; GCF_003053725.1, s__Rhodovulum kholense, 95.0, 80.95, 0.73; GCF_002073975.1, s__Rhodovulum sp002073975, 95.0, 80.61, 0.67; GCF_002079305.1, s__Rhodovulum sp002079305, 95.0, 80.56, 0.69; GCF_001633165.1, s__Rhodovulum sulfidophilum, 95.0, 80.44, 0.69; GCF_003046545.1, s__Rhodovulum imhoffii, 95.0, 78.43, 0.42	73.55	11	0.938353616557377	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
near_lem_2018_bin.29	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__Sulfurimonas;s__	N/A	N/A	N/A	N/A	N/A	GCA_001829625.1	95.0	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__Sulfurimonas;s__Sulfurimonas sp001829625	79.07	0.17	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__Sulfurimonas;s__	taxonomic classification defined by topology and ANI	N/A	GCA_002452425.1, s__Sulfurimonas sp002452425, 95.0, 78.82, 0.11; GCA_002781365.1, s__Sulfurimonas sp002781365, 95.0, 78.25, 0.26; GCA_002733945.1, s__Sulfurimonas sp002733945, 95.0, 77.95, 0.11; GCF_000147355.1, s__Sulfurimonas autotrophica, 95.0, 77.59, 0.21; GCF_005217605.1, s__Sulfurimonas sp005217605, 95.0, 77.44, 0.17; GCA_001829675.1, s__Sulfurimonas sp001829675, 95.0, 77.43, 0.23; GCF_000242915.1, s__Sulfurimonas gotlandica, 95.0, 77.39, 0.21; GCA_001829715.1, s__Sulfurimonas sp001829715, 95.0, 77.38, 0.21; GCA_001829785.1, s__Sulfurimonas sp001829785, 95.0, 77.32, 0.15; GCF_000445475.1, s__Sulfurimonas hongkongensis, 95.0, 77.19, 0.23; GCA_001873135.1, s__Sulfurimonas sp001873135, 95.0, 77.17, 0.17; GCA_002732645.1, s__Sulfurimonas sp002732645, 95.0, 76.93, 0.13; GCA_003978465.1, s__Sulfurimonas sp003978465, 95.0, 76.92, 0.15; GCA_002733155.1, s__Sulfurimonas sp002733155, 95.0, 76.78, 0.09; GCA_002335055.1, s__Sulfurimonas sp002335055, 95.0, 76.59, 0.17; GCA_002452895.1, s__Sulfurimonas sp002452895, 95.0, 76.53, 0.26; GCA_002899765.1, s__Sulfurimonas sp002899765, 95.0, 76.47, 0.26; GCA_002428085.1, s__Sulfurimonas sp002428085, 95.0, 76.22, 0.19; GCF_000012965.1, s__Sulfurimonas denitrificans, 95.0, 76.0, 0.26	12.22	11	0.9583341818419415	N/A
near_lem_2018_bin.3	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA12170;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_003445975.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA12170;g__UBA12170;s__UBA12170 sp003445975	75.34	0.04	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	66.51	11	0.8489176029820433	N/A
near_lem_2018_bin.30	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__UBA2212;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	94.42	11	0.9315733623275345	N/A
near_lem_2018_bin.4	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Prosthecochloris;s__	N/A	N/A	N/A	N/A	N/A	GCF_006265245.1	95.0	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Prosthecochloris;s__Prosthecochloris vibrioformis	86.3	0.85	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Prosthecochloris;s__	taxonomic classification defined by topology and ANI	N/A	GCF_002113825.1, s__Prosthecochloris sp002113825, 95.0, 78.72, 0.25; GCF_003344365.2, s__Prosthecochloris sp003344365, 95.0, 78.13, 0.23; GCF_000020625.1, s__Prosthecochloris aestuarii, 95.0, 77.52, 0.21	42.34	11	0.9705237326030978	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
near_lem_2018_bin.5	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Prosthecochloris;s__	N/A	N/A	N/A	N/A	N/A	GCF_006265245.1	95.0	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Prosthecochloris;s__Prosthecochloris vibrioformis	86.27	0.88	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Prosthecochloris;s__	taxonomic classification defined by topology and ANI	N/A	GCF_000020625.1, s__Prosthecochloris aestuarii, 95.0, 78.09, 0.29; GCF_003344365.2, s__Prosthecochloris sp003344365, 95.0, 77.86, 0.31; GCF_002113825.1, s__Prosthecochloris sp002113825, 95.0, 77.7, 0.25	47.48	11	0.9720257996982764	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
near_lem_2018_bin.6	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__UBA2463;s__	N/A	N/A	N/A	N/A	N/A	GCA_002342295.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__UBA2463;s__UBA2463 sp002342295	76.66	0.14	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	88.63	11	0.8888771297763499	N/A
near_lem_2018_bin.7	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Marichromatium;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	81.17	11	0.9148963399545171	N/A
near_lem_2018_bin.9	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__MAG-120531;s__	N/A	N/A	N/A	N/A	N/A	GCA_002378585.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__MAG-120531;s__MAG-120531 sp002378585	83.01	0.74	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__MAG-120531;s__	taxonomic classification defined by topology and ANI	N/A	GCF_000173115.1, s__MAG-120531 sp000173115, 95.0, 75.7, 0.05	23.79	11	0.9899056170292123	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
